time,temp_c,rh_pct,wind_ms,solar_wm2,wet_bulb_c,globe_temp_c,WBGT
2015-06-22 02:00:00,33.7,70,0.81,0.0,29.04236013297297,33.932,30.486052093081078
2015-06-22 03:00:00,33.4,70,1.2,0.0,28.762899102733495,32.54,29.982029371913445
2015-06-22 04:00:00,33.0,71,1.93,0.0,28.555333532514563,30.096,29.307933472760194
2015-06-22 05:00:00,32.7,74,2.11,0.0,28.763019249125424,29.292,29.262513474387795
2015-06-22 06:00:00,32.3,77,2.12,1.0,28.864321283454277,28.875699999999995,29.210164898417993
2015-06-22 07:00:00,33.0,74,2.09,72.0,29.046043321335038,30.490399999999998,29.730310324934525
2015-06-22 08:00:00,34.7,58,2.6,240.0,27.854102587331685,32.728,29.513471811132177
2015-06-22 09:00:00,35.7,52,2.42,431.0,27.594334177163905,36.4667,30.179373924014733
2015-06-22 10:00:00,36.5,50,1.77,584.0,27.884982423124864,40.8768,31.344847696187408
2015-06-22 11:00:00,37.4,48,1.36,770.0,28.239286657624863,45.101,32.52770066033741
2015-06-22 12:00:00,37.8,44,0.95,837.0,27.706274646852645,47.432900000000004,32.66097225279685
2015-06-22 13:00:00,38.8,42,0.81,907.0,28.077198360902596,49.643899999999995,33.46281885263182
2015-06-22 14:00:00,39.7,39,0.8,866.0,28.08872634399496,50.0922,33.65054844079647
2015-06-22 15:00:00,40.2,38,2.72,759.0,28.240063113923032,43.9643,32.58090417974612
2015-06-22 16:00:00,40.3,38,4.24,617.0,28.320303559607407,38.146899999999995,31.483592491725183
2015-06-22 17:00:00,38.7,45,5.07,411.0,28.682068354672122,31.812700000000007,30.309987848270488
2015-06-22 18:00:00,36.8,52,3.72,221.0,28.549163054283095,31.4697,29.958354137998164
2015-06-22 19:00:00,35.5,58,4.2,79.0,28.56714359209904,27.164300000000004,28.97986051446933
2015-06-22 20:00:00,34.8,61,3.71,3.0,28.489354349057546,26.9471,28.811968044340283
2015-06-22 21:00:00,34.5,63,3.54,0.0,28.574639812686524,27.088,28.869847868880566
2015-06-22 22:00:00,34.3,64,3.22,0.0,28.568449375109868,27.784,28.984714562576904
2015-06-22 23:00:00,33.9,68,5.06,0.0,28.890597555741234,22.232,28.059818289018864
2015-06-23 00:00:00,32.9,70,5.65,0.0,28.297130356537796,19.58,27.013991249576456
2015-06-23 01:00:00,32.9,66,4.65,0.0,27.630020715905427,22.38,27.107014501133797
2015-06-23 02:00:00,32.9,63,3.69,0.0,27.120257002833327,25.067999999999998,27.287779901983328
2015-06-23 03:00:00,32.9,61,2.64,0.0,26.775390964956873,28.008,27.63437367546981
2015-06-23 04:00:00,32.8,61,2.3,0.0,26.685182128820728,28.86,27.73162749017451
2015-06-23 05:00:00,32.5,62,1.72,0.0,26.58612494263485,30.184,27.897087459844393
2015-06-23 06:00:00,32.2,64,1.28,1.0,26.652491658657382,31.1277,28.10228416106017
2015-06-23 07:00:00,32.6,63,0.82,70.0,26.847559588456576,33.623000000000005,28.777891711919604
2015-06-23 08:00:00,33.7,56,0.81,229.0,26.600302903973944,36.6113,29.31247203278176
2015-06-23 09:00:00,35.0,50,1.36,436.0,26.595422448611895,38.7932,29.875435714028324
2015-06-23 10:00:00,36.2,45,2.19,627.0,26.588351602118117,39.90390000000001,30.212626121482685
2015-06-23 11:00:00,37.3,41,3.38,781.0,26.614761763117766,39.4737,30.255073234182436
2015-06-23 12:00:00,37.5,44,4.53,874.0,27.456440924181916,37.5418,30.47786864692734
2015-06-23 13:00:00,37.9,42,5.69,913.0,27.33643187206003,35.150099999999995,29.955522310442017
2015-06-23 14:00:00,37.8,41,6.44,859.0,27.02379901484034,32.318299999999994,29.16031931038824
2015-06-23 15:00:00,37.3,41,7.02,691.0,26.614761763117766,28.228699999999996,28.006073234182434
2015-06-23 16:00:00,36.8,42,6.91,541.0,26.431046284752057,26.2817,27.43807239932644
2015-06-23 17:00:00,36.4,43,6.52,443.0,26.322405346921347,25.827100000000005,27.231103742844944
2015-06-23 18:00:00,35.3,48,5.78,279.0,26.452036467194937,24.880299999999995,27.022485527036455
2015-06-23 19:00:00,33.4,60,5.37,96.0,27.050609302796325,21.987199999999994,26.672866511957427
2015-06-23 20:00:00,31.8,73,4.48,4.0,27.75457557544964,21.8028,26.968762902814746
2015-06-23 21:00:00,30.8,82,3.55,0.0,28.20285615272333,23.36,27.493999306906332
2015-06-23 22:00:00,30.2,86,2.96,0.0,28.222902170769405,24.412,27.65843151953858
2015-06-23 23:00:00,29.8,89,2.67,0.0,28.275593124364686,24.824,27.73771518705528
2015-06-24 00:00:00,29.4,90,3.26,0.0,28.02861712230425,22.772,27.114431985612978
2015-06-24 01:00:00,29.2,91,4.27,0.0,27.976963615171417,19.744,26.452674530619994
2015-06-24 02:00:00,29.2,91,4.28,0.0,27.976963615171417,19.716,26.447074530619993
2015-06-24 03:00:00,29.1,91,2.75,0.0,27.878232746240645,23.900000000000002,27.204762922368452
2015-06-24 04:00:00,28.8,91,2.82,0.0,27.582040070071127,23.404000000000003,26.868228049049787
2015-06-24 05:00:00,28.6,92,2.57,0.0,27.528293473653864,23.904000000000003,26.910605431557705
2015-06-24 06:00:00,28.4,92,2.42,1.0,27.33037159808016,24.1357,26.79840011865611
2015-06-24 07:00:00,28.8,90,2.76,61.0,27.43762855994029,24.285700000000002,26.943479991958203
2015-06-24 08:00:00,29.3,86,3.24,176.0,27.345061516778447,24.787200000000002,27.028983061744913
2015-06-24 09:00:00,30.4,77,3.86,396.0,27.055723023596492,26.7252,27.324046116517543
2015-06-24 10:00:00,31.7,69,4.48,637.0,27.017448395141557,29.108900000000002,27.90399387659909
2015-06-24 11:00:00,32.5,66,5.0,713.0,27.26244138263231,29.342100000000002,28.202128967842615
2015-06-24 12:00:00,33.1,62,5.46,822.0,27.12946533405439,29.9294,28.286505733838077
2015-06-24 13:00:00,33.4,60,5.87,805.0,27.050609302796325,28.8825,28.05192651195743
2015-06-24 14:00:00,34.0,58,6.3,899.0,27.230190391695853,29.3783,28.336793274187094
2015-06-24 15:00:00,34.0,58,5.28,813.0,27.230190391695853,31.228100000000005,28.7067532741871
2015-06-24 16:00:00,33.5,60,5.12,676.0,27.14046446612965,29.5732,28.26296512629076
2015-06-24 17:00:00,32.8,64,5.48,479.0,27.199909132056327,25.560299999999998,27.431996392439427
2015-06-24 18:00:00,31.8,70,6.1,277.0,27.272437490306615,20.460900000000002,26.362886243214632
2015-06-24 19:00:00,30.9,76,5.8,93.0,27.376626450053624,18.2481,25.90325851503754
2015-06-24 20:00:00,30.3,79,5.46,4.0,27.265783954320813,17.558800000000005,25.627808768024572
2015-06-24 21:00:00,30.1,81,5.09,0.0,27.376638149804837,18.348000000000003,25.843246704863386
2015-06-24 22:00:00,29.9,82,4.62,0.0,27.334103221996163,19.464,26.016672255397317
2015-06-24 23:00:00,29.6,84,4.34,0.0,27.341808283513853,19.948,26.088865798459697
2015-06-25 00:00:00,29.7,81,4.52,0.0,26.991568127015796,19.544,25.772897688911055
2015-06-25 01:00:00,29.5,82,4.3,0.0,26.947990438919884,19.96,25.805593307243917
2015-06-25 02:00:00,29.1,85,3.76,0.0,27.00346042097618,21.072000000000003,26.026822294683324
2015-06-25 03:00:00,28.8,87,2.61,0.0,27.00285340417959,23.992,26.58039738292571
